COM	NOM_COM	GENTILE
2539	Nauroy	Nauroisiens
2540	Nesles-la-Montagne	Neslois
2541	Neufchâtel-sur-Aisne	Neufchâtelois
2544	Neuve-Maison	Neuve-Maisonnais
2550	Neuville-sur-Ailette	Neuvillois
2553	Nizy-le-Comte	Niziois
2555	Nogent-l'Artaud	Nogentais
2557	Noroy-sur-Ourcq	Noroisiens
2564	Noyant-et-Aconin	Noyantais
2566	Ognes	Ognois
2567	Ohis	Ohissois
2569	Oisy	Oiséens
2571	Omissy	Ulmissiens
2574	Origny-en-Thiérache	Auriniens
2575	Origny-Sainte-Benoite	Orignaquois
2581	Paars	Paaréens
2582	Paissy	Paissois
2583	Pancy-Courtecon	Pancyacois
2587	Parfondru	Paillefoins
2588	Pargnan	Pargnantais
2590	Pargny-la-Dhuys	Pargnysiens
2596	Pavant	Pavanais
2598	Pernant	Pernantais
2599	Pierremande	Pierremandois
2601	Pignicourt	Pignicourtois
2602	Pinon	Pinonais
2604	Pithon	Pithonais
2610	Pommiers	Pommeramiens
2613	Pontavert	Pontavertois
2614	Pontru	Russipontains
2615	Pontruet	Pontruétois
2619	Prémontré	Prémontrois
2626	Prouvais	Prouvaisiens
2627	Proviseux-et-Plesnoy	Provisiolains
2628	Puiseux-en-Retz	Podiscains
2629	Puisieux-et-Clanlieu	Putéoliens
2644	Retheuil	Retheuillois
2645	Reuilly-Sauvigny	RévilloisetSauvignats
2650	Rocquigny	Rocquigniens
2651	Rogécourt	Rogécourtois
2653	Romeny-sur-Marne	Romenyats
2654	Romery	Romains
2676	Saint-Erme-Outre-et-Ramecourt	Saint-Ermois
2677	Saint-Eugène	Saint-Eugénois
2679	Saint-Gengoulph	Saint-Gengoulphois
2680	Saint-Gobain	Gobanais
2681	Saint-Gobert	Saint-Gobertois
2687	Saint-Pierre-Aigle	Saint-Pierrois
2690	Sainte-Preuve	Sainte-Preuviens
2694	Saint-Simon	Saint-Simoniens
2698	Sancy-les-Cheminots	Sancysiens
2702	Savy	Savignons
2703	Seboncourt	Seboncourtois
2710	Seraucourt-le-Grand	Seraucourtois
2711	Serches	Serchois
2717	Séry-lès-Mézières	Sérysiens
2719	Sinceny	Sincenois
2720	Sissonne	Sissonnais
2722	Soissons	Soissonnais
2729	Soucy	Sulcéens
2731	Le Sourd	Sourdois
2737	Tavaux-et-Pontséricourt	Tavelois
2745	Toulis-et-Attencourt	Toulisiens
2746	Travecy	Travecyens
2753	Tupigny	Tupigniens
2756	Urvillers	Urvillois
2757	Vadencourt	Vadencourtois
2758	Vailly-sur-Aisne	Vaillysiens
2760	La Vallée-Mulâtre	Valmuletiers
2761	Variscourt	Variscourtois
2764	Vassogne	Vassognais
2765	Vaucelles-et-Beffecourt	Vaucellois
2768	Vauxaillon	Vauxaillonnais
2769	Vaux-Andigny	Vauxois
2775	Vendeuil	Vendeuillois
2778	Vendresse-Beaulne	Vendressois
2781	Verdilly	Verdillats
2784	Petit-Verly	Verlyziens
2787	Verneuil-sur-Serre	Verneuillois
2788	Versigny	Versigniens
2789	Vervins	Vervinois
2793	Vézaponin	Vézaponiens
2795	Vic-sur-Aisne	Vicois
2796	Vichel-Nanteuil	Vichelois
2804	Villemontoire	Villemontoiriens
2805	Villeneuve-Saint-Germain	Villeneuvois
2807	Villequier-Aumont	Genlisiens
2810	Villers-Cotterêts	Cotteréziens
2815	Villers-Saint-Christophe	Villerois
2816	Villers-sur-Fère	Villerois
2820	Viry-Noureuil	Virois
2821	Vivaise	Vivaisois
2824	Vorges	Vorgiens
2827	Voyenne	Voyennais
2828	Vregny	Vregnysiens
2833	Wimy	Wimyens
2834	Wissignicourt	Wissignicourtois
3004	Andelaroche	Andelarochois
3006	Arfeuilles	Arfeuillats
3010	Audes	Audois
3011	Aurouër	Aurouërois
3014	Avrilly	Avrillois
3018	Bayet	Bayétois
3019	Beaulon	Beaulonnais
3020	Beaune-d'Allier	Beaunois
3021	Bègues	Béguois
3023	Bellerive-sur-Allier	Bellerivois
3025	Bessay-sur-Allier	Bessaytois
3026	Besson	Bessonnais
3029	Billy	Billyssois
3033	Bost	Bostois
3036	Bourbon-l'Archambault	Bourbonnais
3038	Bransat	Bransatois
3040	Bressolles	Bressollois
3042	Le Breuil	Breuillois
3044	Brugheas	Brugheassois
3045	Busset	Bussétois
3047	La Celle	Cellois
3050	La Chabanne	Chabannais
3052	Chamblet	Chambletois
3053	Chantelle	Chantellois
3054	Chapeau	Chapeautois
3055	La Chapelaude	Chapelaudois
3056	La Chapelle	Chapelois
3059	Chareil-Cintrat	Chareillois
3060	Charmeil	Charmeillois
3065	Châtel-de-Neuvre	Casteldeneuvrois
3071	Chavroches	Chavrochois
3073	Chemilly	Chemillyssois
3075	Chezelle	Chezellois
3076	Chézy	Chezissois
3078	Chouvigny	Calviniens
3080	Cognat-Lyonne	Cognatois
3081	Colombier	Colombariens
3082	Commentry	Commentryens
3083	Contigny	Contignyssois
3085	Coulandon	Coulandonnais
3086	Coulanges	Coulangeois
3089	Coutansouze	Sabotiers
3090	Couzon	Couzonnais
3095	Cusset	Cussetois
3097	Deneuille-les-Mines	Deneuillois
3098	Désertines	Biachets
3100	Diou	Diouxois
3101	Domérat	Domératois
3102	Dompierre-sur-Besbre	Dompierrois
3103	Le Donjon	Donjonnais
3105	Droiturier	Droituriers
3109	Escurolles	Escurollois
3110	Espinasse-Vozelle	Espinassois
3113	Ferrières-sur-Sichon	Farrérauds
3114	La Ferté-Hauterive	Fertéens
3116	Fourilles	Fourillois
3117	Franchesse	Franchessois
3118	Gannat	Gannatois
3121	Gennetines	Gennetinois
3125	La Guillermie	Guillermiauds
3126	Hauterive	Hauterivois
3128	Huriel	Huriélois
3129	Hyds	Hydois
3132	Jaligny-sur-Besbre	Jalignois
3133	Jenzat	Jenzatois
3135	Lalizolle	Lalizollois
3136	Lamaids	Lamaisiens
3139	Laprugne	Prugnards
3140	Lavault-Sainte-Anne	Lavaultois
3142	Lenax	Lenaxois
3144	Liernolles	Liernollais
3147	Loddes	Loddois
3149	Louchy-Montfand	Louchyssois
3150	Louroux-Bourbonnais	LourouziensBourbonnais
3151	Louroux-de-Beaune	Lurobelnaciens
3154	Luneau	Lunettois
3155	Lurcy-Lévis	Lurcyquois
3161	Marcillat-en-Combraille	Marcillatois
3162	Marigny	Marignissois
3166	Mazerier	Mazerois
3167	Mazirat	Maziratois
3170	Meillers	Meillerois
3172	Mesples	Mesplois
3173	Molinet	Molinetois
